state,fy,canal_total,tanks,tubewells,other_wells,other_sources,net_irrigated_000ha
Rajasthan,2019-20,2198,78,4207,2162,176,8821
Sikkim,2019-20,,,,,14,14
Tamil Nadu,2019-20,648,351,518,1151,4,2672
Telangana,2019-20,513,349,1341,562,162,2927
Tripura,2019-20,6,2,8,1,72,89
Uttar Pradesh,2019-20,2166,81,10574,1213,300,14334
Uttarakhand,2019-20,69,0,227,3,18,317
West Bengal,2019-20,,,,,3108,3108
India,2019-20,17561,2185,36287,10876,8547,75456
Andhra Pradesh,2020-21,1356,299,1136,37,109,2936
Assam,2020-21,109,9,93,53,166,431
Bihar,2020-21,955,55,1899,22,113,3044
Chhattisgarh,2020-21,911,26,596,14,52,1599
Delhi,2020-21,2,,18,0,1,22
Goa,2020-21,5,12,2,2,1,22
Gujarat,2020-21,1187,221,2100,1619,444,5571
Haryana,2020-21,1237,,2342,,,3579
Himachal Pradesh,2020-21,3,0,25,3,85,117
Jammu & Kashmir,2020-21,266,11,10,8,24,319
Jharkhand,2020-21,4,72,23,66,76,242
Karnataka,2020-21,1477,165,2161,345,783,4931
Kerala,2020-21,82,43,41,114,109,390
Madhya Pradesh,2020-21,1792,576,5035,3039,2439,12882
Maharashtra,2020-21,1037,,2077,,,3114
Manipur,2020-21,0,,,,69,69
Meghalaya,2020-21,106,,,,,106
Mizoram,2020-21,16,,,,,16
Nagaland,2020-21,,,,,122,122
Odisha,2020-21,,,,,1200,1200
Puducherry,2020-21,5,,9,,0,13
Punjab,2020-21,1141,,2984,,,4126
Rajasthan,2020-21,2145,47,4329,2080,176,8778
Sikkim,2020-21,,,,,14,14
Tamil Nadu,2020-21,668,372,528,1191,4,2764
Telangana,2020-21,1834,198,980,314,40,3365
Tripura,2020-21,7,2,8,1,72,90
Uttar Pradesh,2020-21,2166,81,10574,1213,300,14334
Uttarakhand,2020-21,67,0,227,6,22,322
West Bengal,2020-21,,,,,3128,3128
India,2020-21,18600,2190,37200,10128,9612,77729
Andhra Pradesh,2021-22,1344,310,1162,28,108,2952
Assam,2021-22,112,7,105,52,162,438
Bihar,2021-22,967,53,1924,23,116,3082
Chhattisgarh,2021-22,899,25,610,12,59,1604
Delhi,2021-22,2,,18,0,1,22
Goa,2021-22,8,0,0,0,7,15
Gujarat,2021-22,1604,239,1874,1693,386,5796
Haryana,2021-22,1237,,2342,,,3579
Himachal Pradesh,2021-22,5,0,28,3,75,111
Jammu & Kashmir,2021-22,267,10,8,7,22,315
Jharkhand,2021-22,4,90,19,71,94,279
Karnataka,2021-22,1435,154,2244,321,768,4920
Kerala,2021-22,73,48,45,122,116,403
Madhya Pradesh,2021-22,1824,512,5015,3056,2495,12903
Maharashtra,2021-22,1033,,2070,,,3103
Manipur,2021-22,,,,,62,62
Meghalaya,2021-22,102,,,,,102
Mizoram,2021-22,16,,,,,16
Nagaland,2021-22,,,,,49,49
Odisha,2021-22,,,,,1238,1238
Puducherry,2021-22,5,,9,,0,14
Punjab,2021-22,1160,,2953,,,4113
Rajasthan,2021-22,2056,39,4457,2157,215,8924
Sikkim,2021-22,,,,,14,14
Tamil Nadu,2021-22,684,410,546,1285,5,2930
Telangana,2021-22,2085,222,834,207,29,3376
Tripura,2021-22,7,2,8,1,71,89
Uttar Pradesh,2021-22,2204,85,10299,1269,84,13941
Uttarakhand,2021-22,66,0,226,2,21,315
West Bengal,2021-22,,,,,3127,3127
India,2021-22,19218,2205,36797,10308,9387,77916
Andhra Pradesh,2022-23,1259,276,1197,24,99,2855
Assam,2022-23,159,7,112,42,147,467
Bihar,2022-23,950,52,1995,21,105,3124
Chhattisgarh,2022-23,869,29,584,10,43,1535
Delhi,2022-23,2,,18,0,1,22
Goa,2022-23,14,1,,3,13,32
Gujarat,2022-23,1789,260,1898,1802,436,6186
Haryana,2022-23,1236,,2100,,,3336
Himachal Pradesh,2022-23,3,0,25,3,77,109
Jammu & Kashmir,2022-23,263,10,9,7,22,311
Jharkhand,2022-23,4,62,13,55,69,202
Karnataka,2022-23,1059,104,2849,396,630,5038
Kerala,2022-23,82,46,56,121,113,419
Madhya Pradesh,2022-23,2049,515,5121,2993,2252,12930
Maharashtra,2022-23,1030,,2065,,,3095
Manipur,2022-23,,,,,57,57
Meghalaya,2022-23,105,,,,,105
Mizoram,2022-23,16,,,,,16
Nagaland,2022-23,,,,,118,118
Odisha,2022-23,,,,,1335,1335
Puducherry,2022-23,5,,10,,0,14
Punjab,2022-23,904,,3178,,,4082
Rajasthan,2022-23,2249,39,4824,2154,235,9500
Sikkim,2022-23,,,,,13,13
Tamil Nadu,2022-23,683,400,542,1292,5,2921
Telangana,2022-23,1099,344,1901,475,47,3866
Tripura,2022-23,7,2,9,1,71,90
Uttar Pradesh,2022-23,2204,85,10402,1269,84,14044
Uttarakhand,2022-23,64,0,227,3,20,313
West Bengal,2022-23,,,,,3088,3088
India,2022-23,18124,2235,39134,10672,9147,79312
Andhra Pradesh,2023-24,1008,255,1201,42,97,2603
Assam,2023-24,159,7,115,39,149,469
Bihar,2023-24,1005,87,2172,22,115,3401
Chhattisgarh,2023-24,833,22,563,8,61,1487
Delhi,2023-24,2,,21,1,,25
Goa,2023-24,14,1,,6,19,39
Gujarat,2023-24,1853,278,1923,1792,428,6273
Haryana,2023-24,1237,,1988,,,3225
Himachal Pradesh,2023-24,3,,25,2,78,110
Jammu & Kashmir,2023-24,262,10,8,7,22,311
Jharkhand,2023-24,3,61,13,50,72,199
Karnataka,2023-24,907,76,2873,376,577,4809
Kerala,2023-24,78,48,55,128,111,420
