fuel_litres_displaced,e_kWh_per_m3_m,lift_base_m,ef_grid,gross_Mt,rebound_Mt,net_Mt,offset_pct,is_central
600,0.0045,30.0,0.71,1.916577586273728,0.44004298062381586,1.476534605649912,22.959831304265727,0
600,0.0035,15.0,0.7383,1.926822734214656,0.18404202202911452,1.7427807121855416,9.55158036912655,0
600,0.0035,20.0,0.7383,1.926822734214656,0.24533315759564805,1.681489576619008,12.732523508222055,0
600,0.0035,30.0,0.7383,1.926822734214656,0.35589767263880173,1.570925061575854,18.470701342635977,0
600,0.004,15.0,0.7383,1.926822734214656,0.2103337394618452,1.7164889947528108,10.916091850430345,0
600,0.004,20.0,0.7383,1.926822734214656,0.28038075153788355,1.6464419826767724,14.551455437968066,1
600,0.004,30.0,0.7383,1.926822734214656,0.4067401973014877,1.5200825369131683,21.109372963012547,0
600,0.0045,15.0,0.7383,1.926822734214656,0.23662545689457576,1.6901972773200802,12.280603331734133,0
600,0.0045,20.0,0.7383,1.926822734214656,0.315428345480119,1.6113943887345372,16.370387367714073,0
600,0.0045,30.0,0.7383,1.926822734214656,0.4575827219641736,1.4692400122504825,23.748044583389113,0
600,0.0035,15.0,0.79,1.945539135223348,0.1969296998550731,1.7486094353682748,10.122114548596095,0
600,0.0035,20.0,0.79,1.945539135223348,0.2625127922261438,1.683026342997204,13.493061510479837,0
600,0.0035,30.0,0.79,1.945539135223348,0.3808196686775747,1.564719466545773,19.573991691195488,0
600,0.004,15.0,0.79,1.945539135223348,0.22506251412008363,1.7204766211032645,11.568130912681253,0
600,0.004,20.0,0.79,1.945539135223348,0.3000146196870216,1.6455245155363265,15.420641726262675,0
600,0.004,30.0,0.79,1.945539135223348,0.4352224784886568,1.510316656734691,22.37027621850913,0
600,0.0045,15.0,0.79,1.945539135223348,0.25319532838509395,1.692343806838254,13.014147276766405,0
600,0.0045,20.0,0.79,1.945539135223348,0.3375164471478993,1.6080226880754487,17.34822194204551,0
600,0.0045,30.0,0.79,1.945539135223348,0.48962528829973884,1.455913846923609,25.166560745822768,0
800,0.0035,15.0,0.71,2.469758866055677,0.1769874517684834,2.2927714142871936,7.166183476492214,0
800,0.0035,20.0,0.71,2.469758866055677,0.23592921832982544,2.2338296477258517,9.552722801097406,0
800,0.0035,30.0,0.71,2.469758866055677,0.3422556515963013,2.127503214459376,13.857856987589233,0
800,0.004,15.0,0.71,2.469758866055677,0.20227137344969537,2.267487492605982,8.189923973133961,0
800,0.004,20.0,0.71,2.469758866055677,0.2696333923769434,2.200125473678734,10.917397486968467,0
800,0.004,30.0,0.71,2.469758866055677,0.3911493161100586,2.0786095499456185,15.837550842959123,0
800,0.0045,15.0,0.71,2.469758866055677,0.22755529513090722,2.24220357092477,9.213664469775702,0
800,0.0045,20.0,0.71,2.469758866055677,0.3033375664240613,2.166421299631616,12.282072172839525,0
800,0.0045,30.0,0.71,2.469758866055677,0.44004298062381586,2.029715885431861,17.817244698329013,0
800,0.0035,15.0,0.7383,2.4800040139966053,0.18404202202911452,2.295961991967491,7.421037264069785,0
800,0.0035,20.0,0.7383,2.4800040139966053,0.24533315759564805,2.234670856400957,9.892450020687098,0
800,0.0035,30.0,0.7383,2.4800040139966053,0.35589767263880173,2.1241063413578036,14.35068937913779,0
800,0.004,15.0,0.7383,2.4800040139966053,0.2103337394618452,2.26967027453476,8.481185444651183,0
800,0.004,20.0,0.7383,2.4800040139966053,0.28038075153788355,2.1996232624587218,11.305657166499543,0
800,0.004,30.0,0.7383,2.4800040139966053,0.4067401973014877,2.0732638166951176,16.400787861871763,0
800,0.0045,15.0,0.7383,2.4800040139966053,0.23662545689457576,2.2433785571020297,9.541333625232578,0
800,0.0045,20.0,0.7383,2.4800040139966053,0.315428345480119,2.1645756685164863,12.718864312311986,0
800,0.0045,30.0,0.7383,2.4800040139966053,0.4575827219641736,2.0224212920324316,18.45088634460573,0
800,0.0035,15.0,0.79,2.4987204150052973,0.1969296998550731,2.301790715150224,7.881221871501603,0
800,0.0035,20.0,0.79,2.4987204150052973,0.2625127922261438,2.236207622779154,10.505888960193543,0
800,0.0035,30.0,0.79,2.4987204150052973,0.3808196686775747,2.1179007463277224,15.240587397880901,0
800,0.004,15.0,0.79,2.4987204150052973,0.22506251412008363,2.2736579008852136,9.007110710287549,0
800,0.004,20.0,0.79,2.4987204150052973,0.3000146196870216,2.1987057953182756,12.006730240221195,0
800,0.004,30.0,0.79,2.4987204150052973,0.4352224784886568,2.0634979365166406,17.417814169006743,0
800,0.0045,15.0,0.79,2.4987204150052973,0.25319532838509395,2.2455250866202032,10.132999549073489,0
800,0.0045,20.0,0.79,2.4987204150052973,0.3375164471478993,2.161203967857398,13.507571520248844,0
800,0.0045,30.0,0.79,2.4987204150052973,0.48962528829973884,2.0090951267055583,19.595040940132584,0
